起点ID,起点类型,关系名称,终点ID,终点类型,示例
7e5f7c61e791d180,名句实体,名句归属于,108ce1408715,诗文实体,山月不知心里事，水风空落眼前花... → 归属于 → 温庭筠《梦江南·千万恨》
2a348b2b5360c9ff,名句实体,名句归属于,2449fc7a9986,诗文实体,人面不知何处去，桃花依旧笑春风... → 归属于 → 崔护《题都城南庄》
76036f10eddf51da,名句实体,名句归属于,1f5f518781f0,诗文实体,从此无心爱良夜，任他明月下西楼... → 归属于 → 李益《写情》
0d92b22b9d31c9b1,名句实体,名句归属于,51aa3a553057,诗文实体,众里寻他千百度。蓦然回首，那人... → 归属于 → 辛弃疾《青玉案·元夕》
e207e7c8dd2cefd9,名句实体,名句归属于,334152b6ba49,诗文实体,小舟从此逝，江海寄余生。... → 归属于 → 苏轼《临江仙·夜饮东坡醒复醉》
dd8752e572a05ed6,名句实体,名句归属于,4ef2774ed20a,诗文实体,山无陵，江水为竭，冬雷震震，夏... → 归属于 → 佚名《上邪》
03821d5edce47383,名句实体,名句归属于,3b1108c2df7b,诗文实体,似此星辰非昨夜，为谁风露立中宵... → 归属于 → 黄景仁《绮怀》
039895003d5ac50d,名句实体,名句归属于,05c6c4ccf634,诗文实体,身无彩凤双飞翼，心有灵犀一点通... → 归属于 → 李商隐《无题·昨夜星辰昨夜风》
324eb0ef220622ae,名句实体,名句归属于,b6447ef32a25,诗文实体,仰天大笑出门去，我辈岂是蓬蒿人... → 归属于 → 李白《南陵别儿童入京》
46d3d9bf88326509,名句实体,名句归属于,c69e5720e858,诗文实体,伤心桥下春波绿，曾是惊鸿照影来... → 归属于 → 陆游《沈园二首》
d41a1cd734f6c1de,名句实体,名句归属于,cd7027786b98,诗文实体,行到水穷处，坐看云起时。... → 归属于 → 王维《终南别业 / 初至山中 / 入山寄城中故人》
8ac34fc16a53047f,名句实体,名句归属于,5f9038905eb7,诗文实体,梨花院落溶溶月，柳絮池塘淡淡风... → 归属于 → 晏殊《无题·油壁香车不再逢》
74d77146dff0dc9e,名句实体,名句归属于,2dcf6f7cfbbc,诗文实体,林花谢了春红，太匆匆。无奈朝来... → 归属于 → 李煜《相见欢·林花谢了春红》
9b6779b513dfc301,名句实体,名句归属于,1e6e5884e818,诗文实体,世间无限丹青手，一片伤心画不成... → 归属于 → 高蟾《金陵晚望》
1a4e10e1849403cd,名句实体,名句归属于,43e1c0daacca,诗文实体,浮云一别后，流水十年间。... → 归属于 → 韦应物《淮上喜会梁川故人 / 淮上喜会梁州故人》
e7925eb6887d65d7,名句实体,名句归属于,e1339dc3ff03,诗文实体,疏影横斜水清浅，暗香浮动月黄昏... → 归属于 → 林逋《山园小梅·其一》
