起点ID,起点类型,关系名称,终点ID,终点类型,示例
fe34d4125f89,诗文实体,属于形式,c809738f22126c36,形式实体,玉楼春·别后不知君远近 → 属于形式 → 词
51c560529d2a,诗文实体,属于形式,be6715edcbe7db8f,形式实体,冬夜读书示子聿 → 属于形式 → 诗
f9a34574e44a,诗文实体,属于形式,c809738f22126c36,形式实体,浣溪沙·谁念西风独自凉 → 属于形式 → 词
9fedd9d41999,诗文实体,属于形式,be6715edcbe7db8f,形式实体,代悲白头翁 → 属于形式 → 诗
39ad02580f79,诗文实体,属于形式,fe4ece4d4b1d3c1b,形式实体,水仙子·夜雨 → 属于形式 → 曲
731e2a19594e,诗文实体,属于形式,be6715edcbe7db8f,形式实体,宣州谢朓楼饯别校书叔云 → 属于形式 → 诗
b7f6fef5bb0b,诗文实体,属于形式,c809738f22126c36,形式实体,一剪梅·红藕香残玉簟秋 → 属于形式 → 词
44c7047fdd94,诗文实体,属于形式,be6715edcbe7db8f,形式实体,题三十小象 → 属于形式 → 诗
65bc4719e0b1,诗文实体,属于形式,be6715edcbe7db8f,形式实体,咸阳城东楼 → 属于形式 → 诗
e1c6346d4d88,诗文实体,属于形式,be6715edcbe7db8f,形式实体,简卢陟 → 属于形式 → 诗
2ee36eb2ccf7,诗文实体,属于形式,c809738f22126c36,形式实体,丑奴儿·书博山道中壁 → 属于形式 → 词
32bfa9757c62,诗文实体,属于形式,be6715edcbe7db8f,形式实体,不第后赋菊 → 属于形式 → 诗
d99474e71e35,诗文实体,属于形式,be6715edcbe7db8f,形式实体,上堂开示颂 → 属于形式 → 诗
902b7c60788a,诗文实体,属于形式,c809738f22126c36,形式实体,蝶恋花·槛菊愁烟兰泣露 → 属于形式 → 词
36bd11e782a7,诗文实体,属于形式,c809738f22126c36,形式实体,采桑子·高城鼓动兰釭灺 → 属于形式 → 词
32d2e7ebc423,诗文实体,属于形式,be6715edcbe7db8f,形式实体,西洲曲 → 属于形式 → 诗
5ac613721d19,诗文实体,属于形式,c809738f22126c36,形式实体,乌夜啼·昨夜风兼雨 → 属于形式 → 词
4dd3bba27491,诗文实体,属于形式,c809738f22126c36,形式实体,鹧鸪天·林断山明竹隐墙 → 属于形式 → 词
1b22f2e35e37,诗文实体,属于形式,be6715edcbe7db8f,形式实体,正月二十日与潘郭二生出郊寻春忽记去年是日同至女王城作诗乃和前韵 → 属于形式 → 诗
