朝代ID,朝代名称,时间跨度
d594bdc54e3f5f2d,先秦,约公元前21世纪-公元前221年
da4433c43f85e521,两汉,公元前202年-公元220年
28ae6ffa79d4d921,魏晋,220年-420年
7b58793342611704,南北朝,420年-589年
2a3eea9410d1f201,隋代,581年-618年
2b45004ffdb9e977,唐代,618年-907年
34a357a47ee484a9,五代,907年-960年
8a1dda8fe4d6ad38,宋代,960年-1279年
686402f4dae9d1c2,金朝,1115年-1234年
77d92920cd7e0455,元代,1271年-1368年
894d547a09e3f90f,明代,1368年-1644年
7c9b0bd88bc951f0,清代,1644年-1911年
